date,high,low,open,close,volume,jdate
2023-01-09,1646900,1636120,1638720,1646906,16634422183,1401-10-19
2023-01-10,1674900,1659170,1659170,1668187,14353961655,1401-10-20
2023-01-11,1664920,1652080,1664920,1652087,13601418544,1401-10-21
2023-01-14,1643720,1631470,1643480,1643714,9365583644,1401-10-24
2023-01-15,1643710,1643710,0,1643714,0,1401-10-25
2023-01-16,1680680,1649660,1649660,1680675,12333059025,1401-10-26
2023-01-17,1693050,1686780,1686780,1687048,13657308030,1401-10-27
2023-01-18,1689140,1682980,1686240,1689144,12179698825,1401-10-28
2023-01-21,1688810,1657570,1688810,1657574,13453780518,1401-11-01
2023-01-22,1662840,1649050,1658290,1652924,10577410838,1401-11-02
2023-01-23,1667860,1653940,1658200,1653949,12575322806,1401-11-03
2023-01-24,1654390,1646050,1654390,1646054,7529763243,1401-11-04
2023-01-25,1646560,1611950,1646560,1611956,11492930174,1401-11-05
2023-01-28,1612660,1600080,1612310,1600082,9403364082,1401-11-08
2023-01-29,1597520,1542180,1597520,1542191,11035874312,1401-11-09
2023-01-30,1544400,1531440,1541850,1539680,8976236231,1401-11-10
2023-01-31,1557720,1541700,1541700,1556552,7917291432,1401-11-11
2023-02-01,1557540,1555680,1557530,1557244,6038652490,1401-11-12
2023-02-05,1556970,1540180,1556970,1540189,7500863445,1401-11-16
2023-02-06,1538830,1535100,1538830,1537859,6348458364,1401-11-17
2023-02-07,1556510,1539690,1539690,1556516,5826571862,1401-11-18
2023-02-08,1561350,1558080,1558280,1558082,5026161405,1401-11-19
2023-02-12,1557860,1545970,1557860,1545978,3851024133,1401-11-23
2023-02-13,1551840,1546530,1546530,1548278,4328248989,1401-11-24
2023-02-14,1548150,1537960,1548130,1537962,4062888178,1401-11-25
2023-02-15,1537670,1524790,1537670,1524795,3892525812,1401-11-26
2023-02-19,1533400,1525400,1525400,1533367,5063012844,1401-11-30
2023-02-20,1594260,1548500,1548500,1594263,8483886731,1401-12-01
2023-02-21,1661680,1624950,1624950,1659416,14426473735,1401-12-02
2023-02-22,1663170,1653510,1660060,1656593,10544745520,1401-12-03
2023-02-25,1738780,1695190,1695190,1738782,13556526072,1401-12-06
2023-02-26,1813520,1792300,1792300,1804300,22620469834,1401-12-07
2023-02-27,1818040,1792560,1798090,1809074,17713066324,1401-12-08
2023-02-28,1838160,1809880,1813990,1838119,12258402296,1401-12-09
2023-03-01,1835050,1821760,1835050,1821771,13415674157,1401-12-10
2023-03-04,1812090,1788200,1812090,1788210,9247863228,1401-12-13
2023-03-05,1799130,1790680,1790680,1795955,8490664709,1401-12-14
2023-03-06,1793070,1781020,1793070,1785670,8312693716,1401-12-15
2023-03-07,1817610,1787420,1787420,1817612,11529655452,1401-12-16
2023-03-11,1828290,1816730,1824100,1816740,11632442293,1401-12-20
2023-03-12,1810460,1783160,1810460,1783197,7661040863,1401-12-21
2023-03-13,1789170,1781620,1783610,1781632,7154751749,1401-12-22
2023-03-14,1784010,1781890,1781890,1782988,7024872831,1401-12-23
2023-03-15,1820990,1784520,1784520,1820988,10083167057,1401-12-24
2023-03-18,1906540,1830680,1830680,1905745,13169726957,1401-12-27
2023-03-19,1960460,1922240,1922240,1960457,12695663389,1401-12-28
2023-03-25,1998320,1969260,1969260,1998283,10907074155,1402-01-05
2023-03-26,2033930,2002460,2002460,2018760,13068425233,1402-01-06
2023-03-27,2029190,2010280,2016940,2029198,11111581108,1402-01-07
2023-03-28,2046900,2035460,2035460,2044408,12991497357,1402-01-08
2023-03-29,2078710,2048370,2048370,2078712,14082242366,1402-01-09
2023-04-03,2089950,2055770,2064400,2089951,15154252530,1402-01-14
2023-04-04,2134410,2100180,2100180,2119106,16001184050,1402-01-15
2023-04-05,2137460,2110770,2114070,2137465,14482016677,1402-01-16
2023-04-08,2204000,2141310,2141310,2202386,19124811173,1402-01-19
2023-04-09,2214490,2203790,2203790,2212643,18009276301,1402-01-20
2023-04-10,2229580,2190300,2220090,2190307,20559689013,1402-01-21
2023-04-11,2184470,2172960,2184470,2179922,14205955021,1402-01-22
2023-04-15,2253940,2198740,2198740,2253946,16860140773,1402-01-26
2023-04-16,2276350,2262510,2265900,2275067,19908121821,1402-01-27
2023-04-17,2289640,2269280,2274130,2289287,17965651571,1402-01-28
2023-04-18,2331480,2295830,2295830,2325437,21124438100,1402-01-29
2023-04-19,2329680,2319350,2326510,2324133,16622580129,1402-01-30
2023-04-24,2326490,2315030,2325510,2326494,13635418572,1402-02-04
2023-04-25,2378220,2335770,2335770,2368829,16914689462,1402-02-05
2023-04-26,2367950,2352200,2365810,2365287,17971185558,1402-02-06
2023-04-29,2438550,2394010,2394010,2438553,23130913276,1402-02-09
2023-04-30,2479440,2462040,2462040,2479340,19629864000,1402-02-10
2023-05-01,2488830,2471200,2488470,2480640,20087031919,1402-02-11
2023-05-02,2518330,2486940,2486940,2518332,19384690781,1402-02-12
2023-05-03,2526340,2514670,2525370,2514673,24039137894,1402-02-13
2023-05-06,2535230,2527540,2527540,2535236,24321643548,1402-02-16
2023-05-07,2548220,2440160,2548220,2440168,21689300180,1402-02-17
2023-05-08,2383450,2314400,2383450,2314408,11678938696,1402-02-18
2023-05-09,2305840,2260940,2266890,2305838,23649508737,1402-02-19
2023-05-10,2334350,2277710,2318530,2277713,17689865334,1402-02-20
2023-05-13,2268270,2211920,2268270,2214024,16539467699,1402-02-23
2023-05-14,2285900,2229440,2229440,2285904,16408472144,1402-02-24
2023-05-15,2301840,2290620,2298770,2301380,13595652757,1402-02-25
2023-05-17,2321340,2302090,2302090,2321336,11376649605,1402-02-27
2023-05-20,2328860,2297980,2327920,2297986,12428831702,1402-02-30
2023-05-21,2302760,2290740,2296520,2302706,9716889386,1402-02-31
2023-05-22,2319880,2308720,2308720,2318506,12546559013,1402-03-01
2023-05-23,2337110,2321980,2321980,2330799,11152932188,1402-03-02
2023-05-24,2352200,2345960,2348570,2345968,11003591747,1402-03-03
2023-05-27,2342460,2311220,2342460,2311222,10025347471,1402-03-06
2023-05-28,2308400,2255260,2308400,2257013,11516872891,1402-03-07
2023-05-29,2275470,2260400,2260400,2275395,8576040180,1402-03-08
2023-05-30,2289920,2278450,2278450,2288427,8574187566,1402-03-09
2023-05-31,2288550,2268880,2288550,2271042,7783879726,1402-03-10
2023-06-03,2279680,2270560,2271220,2279683,5997307952,1402-03-13
2023-06-06,2289540,2281860,2281860,2289549,7949702134,1402-03-16
2023-06-07,2291930,2288430,2290660,2288439,7839029762,1402-03-17
2023-06-10,2276750,2215050,2276750,2215058,7855900699,1402-03-20
2023-06-11,2213920,2208200,2212970,2208212,7235015237,1402-03-21
2023-06-12,2209040,2145400,2209040,2145416,9753911802,1402-03-22
2023-06-13,2155190,2145500,2145500,2155198,6685836893,1402-03-23
2023-06-14,2183800,2158890,2158890,2182107,7075034668,1402-03-24
2023-06-17,2189700,2182800,2185130,2182804,6727303147,1402-03-27
2023-06-18,2181820,2162710,2181820,2162917,7459075366,1402-03-28
2023-06-19,2168390,2162310,2162310,2164226,7705141387,1402-03-29
2023-06-20,2166940,2161110,2164170,2166947,4905142581,1402-03-30
2023-06-21,2177070,2168560,2168560,2173893,5194159667,1402-03-31
2023-06-24,2174000,2162570,2174000,2162616,6449474247,1402-04-03
2023-06-25,2190390,2169530,2169530,2189602,7456232165,1402-04-04
2023-06-26,2196700,2188210,2188380,2196128,6514672163,1402-04-05
2023-06-27,2195500,2168190,2195500,2168200,6320056850,1402-04-06
2023-06-28,2162460,2152380,2162460,2153411,5541888446,1402-04-07
2023-07-01,2153670,2143910,2152930,2143915,5033870646,1402-04-10
2023-07-02,2157730,2144380,2144380,2157377,5788832953,1402-04-11
2023-07-03,2183420,2158990,2158990,2183406,6609188812,1402-04-12
2023-07-04,2203910,2185360,2185360,2202092,6962081467,1402-04-13
2023-07-05,2205690,2202220,2202300,2202657,6117597542,1402-04-14
2023-07-08,2204320,2195130,2203470,2195133,5066894352,1402-04-17
2023-07-09,2194010,2176350,2194010,2176359,5893451415,1402-04-18
2023-07-10,2175480,2158520,2175480,2158534,5809692178,1402-04-19
2023-07-11,2158180,2128370,2158180,2128378,8521250936,1402-04-20
2023-07-12,2126100,2071400,2126100,2071404,8130618292,1402-04-21
2023-07-15,2081630,2070880,2072490,2070890,4685610938,1402-04-24
2023-07-16,2070230,2021260,2070230,2021298,5876636114,1402-04-25
2023-07-17,2018370,1955600,2018370,1956634,7784195614,1402-04-26
2023-07-18,1999760,1959190,1959190,1999759,7485396276,1402-04-27
2023-07-19,2027390,2002690,2002690,2016386,5911763876,1402-04-28
2023-07-22,2012770,1983100,2012770,1983134,4603744008,1402-04-31
2023-07-23,1983190,1976940,1981470,1976945,3638934500,1402-05-01
2023-07-24,1998450,1979910,1979910,1998459,4020002843,1402-05-02
2023-07-25,2010900,2000510,2000510,2001897,4877153274,1402-05-03
2023-07-26,2001680,1997250,2001680,2000525,4227588892,1402-05-04
2023-07-29,2002840,1996750,2000460,1996756,4087515263,1402-05-07
2023-07-30,1995620,1967660,1995620,1967668,6759262471,1402-05-08
2023-07-31,1973910,1968600,1968600,1973910,4699158214,1402-05-09
2023-08-01,1993670,1974590,1974590,1993659,4302476203,1402-05-10
2023-08-05,2033040,1996920,1996920,2033048,6028840078,1402-05-14
2023-08-06,2040040,2032920,2034180,2040012,4890816163,1402-05-15
2023-08-07,2052420,2042310,2042310,2051073,6936466699,1402-05-16
2023-08-08,2050420,2037860,2050420,2037869,4763081242,1402-05-17
2023-08-09,2042440,2036330,2039860,2036986,3960351687,1402-05-18
2023-08-12,2034620,1989630,2034620,1989640,5295548284,1402-05-21
2023-08-13,1988110,1983570,1988110,1987918,4784195666,1402-05-22
2023-08-14,1999680,1989640,1989640,1997030,3885093878,1402-05-23
2023-08-15,1996570,1978160,1996570,1978183,4669021344,1402-05-24
2023-08-16,1978940,1973590,1978750,1973597,3285775109,1402-05-25
2023-08-19,1973790,1957510,1973790,1957515,4034785932,1402-05-28
2023-08-20,1957480,1953450,1957480,1954030,3929515252,1402-05-29
2023-08-21,1958680,1954410,1954410,1956441,3407248806,1402-05-30
2023-08-22,1956200,1938220,1956200,1938248,4021779851,1402-05-31
2023-08-23,1946630,1937950,1937970,1946594,3634396441,1402-06-01
2023-08-26,1993110,1950320,1950320,1993097,5519619759,1402-06-04
2023-08-27,2051480,1996610,1996610,2051472,9554596314,1402-06-05
2023-08-28,2084840,2055150,2055150,2084168,8014092729,1402-06-06
2023-08-29,2101020,2088670,2088670,2095049,6695774108,1402-06-07
2023-08-30,2105030,2097120,2097120,2104684,7936454383,1402-06-08
2023-09-02,2110130,2103530,2106280,2105644,6351686855,1402-06-11
2023-09-03,2112110,2104760,2105510,2111649,4961866416,1402-06-12
2023-09-04,2136150,2111980,2111980,2136144,6622806537,1402-06-13
2023-09-05,2155370,2140040,2140040,2150975,6783298076,1402-06-14
2023-09-09,2150500,2129600,2150500,2129609,5675142297,1402-06-18
2023-09-10,2127810,2123030,2127810,2123629,4213931073,1402-06-19
2023-09-11,2124250,2122590,2123910,2122617,4042153489,1402-06-20
2023-09-12,2129360,2122890,2122890,2127080,4186998520,1402-06-21
2023-09-13,2130510,2126690,2127990,2126742,4134697520,1402-06-22
2023-09-17,2135990,2127350,2127350,2135784,5173246212,1402-06-26
2023-09-18,2136690,2133470,2136100,2133485,4928596342,1402-06-27
2023-09-19,2133480,2128450,2133480,2128489,4022835079,1402-06-28
2023-09-20,2128330,2121130,2128330,2121213,3840478269,1402-06-29
2023-09-23,2122080,2118340,2121730,2118347,3618702969,1402-07-01
2023-09-25,2118330,2101010,2118310,2101037,5401232504,1402-07-03
2023-09-26,2101150,2097710,2101090,2097727,3757203222,1402-07-04
2023-09-27,2099450,2097740,2098000,2097977,4326710424,1402-07-05
2023-09-30,2098960,2084530,2098790,2084535,4906028068,1402-07-08
2023-10-01,2084260,2067150,2084260,2067164,5703782258,1402-07-09
2023-10-02,2067830,2066690,2067580,2067538,4221168574,1402-07-10
2023-10-04,2070900,2068050,2068050,2069749,3616074433,1402-07-12
2023-10-07,2069700,2052860,2069700,2052864,4330004666,1402-07-15
2023-10-08,2049920,2001250,2049920,2001267,7057402028,1402-07-16
2023-10-09,2010190,2000420,2000420,2005595,4669082409,1402-07-17
2023-10-10,2014060,2006230,2006230,2014067,3389907995,1402-07-18
2023-10-11,2020460,2014870,2014870,2019713,3318383709,1402-07-19
2023-10-14,2019410,2001420,2019410,2001463,4471763189,1402-07-22
2023-10-15,2002900,2001250,2001310,2001943,3695325391,1402-07-23
2023-10-16,2018190,2002450,2002450,2018166,4054702910,1402-07-24
2023-10-17,2031240,2022150,2022150,2031245,4103661201,1402-07-25
2023-10-18,2029680,2023520,2029680,2023544,5009923324,1402-07-26
2023-10-21,2026450,2023540,2023540,2024973,3221150311,1402-07-29
2023-10-22,2033260,2026710,2026710,2032212,3581350417,1402-07-30
2023-10-23,2030880,2021890,2030880,2021904,4100281974,1402-08-01
2023-10-24,2021880,2000170,2021880,2000347,4242217315,1402-08-02
2023-10-25,2002110,1999700,1999930,2002075,3914838095,1402-08-03
2023-10-28,1994970,1951210,1994970,1951217,6641177973,1402-08-06
2023-10-29,1961310,1950310,1950310,1961311,4060283054,1402-08-07
2023-10-30,1981570,1962240,1962240,1981414,4046970679,1402-08-08
2023-10-31,1985250,1981200,1981900,1981205,3783263794,1402-08-09
2023-11-01,1979780,1967730,1979780,1970520,4538670855,1402-08-10
2023-11-04,1999200,1975900,1975900,1999208,4956578016,1402-08-13
2023-11-05,2016740,2000250,2000250,2016735,4705107827,1402-08-14
2023-11-06,2030870,2017290,2017290,2030872,4843982685,1402-08-15
2023-11-07,2052690,2031820,2031820,2052696,7572465211,1402-08-16
2023-11-08,2056040,2053920,2053920,2055945,4501567800,1402-08-17
2023-11-11,2058760,2054300,2056160,2054483,4553436896,1402-08-20
2023-11-12,2054640,2052560,2054500,2053633,4494006841,1402-08-21
2023-11-13,2058330,2054060,2054060,2055960,4689052339,1402-08-22
2023-11-14,2055840,2046060,2055840,2046067,4151709828,1402-08-23
2023-11-15,2045780,2038870,2045710,2038883,4124806884,1402-08-24
2023-11-18,2038810,2028560,2038810,2028579,3697269904,1402-08-27
2023-11-19,2031130,2026230,2028820,2026242,3894273167,1402-08-28
2023-11-20,2026250,2017910,2026250,2018008,3941809771,1402-08-29
2023-11-21,2020150,2018010,2018220,2020154,3760732857,1402-08-30
2023-11-22,2023970,2020700,2020700,2022332,4067774577,1402-09-01
